name,id,nametype,recclass,fall,year,reclat,reclong,mass (Kg)
Seminole (b),23489,Valid,OC,Found,1965,32.54333,-102.705,1.184
Hebron,11867,Valid,OC,Found,1965,40.16667,-97.6,21.82
Thurman,23980,Valid,OC,Found,1965,39.52167,-103.16667,1.959
Ferintosh,10090,Valid,OC,Found,1965,52.8,-112.98333,2.201
River,22612,Valid,OC,Found,1965,-30.36667,126.01667,0.1905
Eva,10066,Valid,OC,Found,1965,36.81667,-101.90833,6.7
Springer,23688,Valid,OC,Found,1965,36.34611,-97.185,8.143
Dingo Pup Donga,7647,Valid,AA,Found,1965,-30.43333,126.1,0.1227
Etter,10062,Valid,OC,Found,1965,35.98333,-101.9,450.0
Erie,10045,Valid,OC,Found,1965,40.03167,-105.05667,3.3
Monturaqui,16731,Valid,NMIM,Found,1965,-23.93333,-68.28333,2.0
Post,18877,Valid,OC,Found,1965,33.11667,-101.38333,2.0
Pannikin,18097,Valid,OC,Found,1965,-32.04167,126.18333,0.0136
McCook,15459,Valid,OC,Found,1965,40.02,-100.78333,3.602
St. Lawrence,23088,Valid,OC,Found,1965,31.73333,-101.505,2.6
Wilbia,24261,Valid,OC,Found,1965,-26.45,131.0,0.094
Moorabie,16735,Valid,OC,Found,1965,-30.01667,141.06667,14.04
Wikieup,24260,Valid,OC,Found,1965,34.7,-113.6,0.372
Severny Kolchim,23507,Valid,OC,Found,1965,60.5,57.0,1.39
Kyle,12389,Valid,OC,Found,1965,29.975,-97.86667,7.78
Taonan,23873,Valid,OC,Fell,1965,45.4,122.9,3.85
Cardanumbi,5268,Valid,OC,Found,1966,-32.1,125.68333,0.0064
Coorara,5439,Valid,OC,Found,1966,-30.45,126.1,0.1167
Elba,7821,Valid,OC,Found,1966,39.83333,-103.21667,4.175
Faucett,10077,Valid,OC,Found,1966,39.61667,-94.86667,100.0
Pavel,18173,Valid,OC,Fell,1966,43.46667,25.51667,2.968
Kress (b),12359,Valid,OC,Found,1966,34.35833,-101.73,2.6
Floyd,10113,Valid,OC,Found,1966,34.19333,-103.575,13.0
Kaffir (b),12224,Valid,OC,Found,1966,34.67167,-101.815,3.5
Wellman (d),24240,Valid,OC,Found,1966,33.01667,-102.36667,1.615
Yocemento,30364,Valid,OC,Found,1966,38.9,-99.43333,5.92
Timmersoi,24002,Valid,OC,Found,1966,18.91667,6.25,0.516
Burrika,5176,Valid,OC,Found,1966,-31.96667,125.83333,0.020399999999999998
Albion,457,Valid,MIM,Found,1966,46.83333,-117.25,12.28
Sleeper Camp 002,23628,Valid,UN,Found,1966,-30.48333,126.25,0.0395
Inman,12036,Valid,OC,Found,1966,38.25,-97.66667,7.25
Kramer Creek,12354,Valid,OC,Found,1966,38.3925,-104.17667,2.3
Pep,18791,Valid,OC,Found,1966,33.73,-102.57667,0.591
Avoca (Western Australia),4909,Valid,MIM,Found,1966,-30.85,122.31667,37.85
Zhigansk,30405,Valid,MIM,Found,1966,68.0,128.3,900.0
Umm Ruaba,24118,Valid,OC,Fell,1966,13.46667,31.21667,1.7
Saint-Séverin,23102,Valid,OC,Fell,1966,45.3,0.23333,271.0
Hamilton (Queensland),11483,Valid,OC,Found,1966,-28.48333,148.25,68.0
Skiff,23622,Valid,OC,Found,1966,49.25,-111.86667,3.54
Seoni,23500,Valid,OC,Fell,1966,21.68389,79.50083,20.0
Cope (b),5441,Valid,OC,Found,1967,39.68333,-102.845,0.817
Armel,2336,Valid,OC,Found,1967,39.76667,-102.13333,9.2
Hartley,11847,Valid,OC,Found,1967,35.94167,-102.16,2.1
Enigma,10036,Valid,OC,Found,1967,31.33333,-82.31667,0.094
Georgetown,10904,Valid,OC,Found,1967,39.7,-105.7,0.687
Tarlton,23880,Valid,OC,Found,1967,39.32,-82.37,0.2265
Seymchan,23510,Valid,P,Found,1967,62.9,152.43333,323.3
Tiberrhamine,23985,Valid,OC,Found,1967,28.11667,0.53333,107.0
Laundry East,12737,Valid,OC,Found,1967,-31.53333,127.1,0.0431
Vilna,24183,Valid,OC,Fell,1967,54.225,-111.69167,0.0001
Wiluna,24281,Valid,OC,Fell,1967,-26.59278,120.32833,150.0
Mossgiel,16758,Valid,OC,Found,1967,-33.31667,144.78333,32.383
Nova Petropolis,17928,Valid,MIM,Found,1967,-29.43333,-50.91667,305.0
Kingai,12316,Valid,OC,Fell,1967,11.63333,24.68333,0.0674
Laundry Rockhole,12738,Valid,OC,Found,1967,-31.53333,127.01667,1.443
Forrest 001,10124,Valid,OC,Found,1967,-30.81667,128.21667,0.09770000000000001
Portales (c),18873,Valid,OC,Found,1967,34.1,-103.41667,6.0
Caldera,5196,Valid,AA,Found,1967,-27.05,-70.8,0.5
Laundry West,12739,Valid,OC,Found,1967,-31.46667,126.93333,4.002
Zerhamra,30403,Valid,MIM,Found,1967,29.85861,-2.645,630.0
Parambu,18102,Valid,OC,Fell,1967,-6.23333,-40.7,2.0
Portales (b),18872,Valid,OC,Found,1967,34.06667,-103.5,0.5958
Tathlith,23885,Valid,OC,Fell,1967,19.38333,43.73333,2.5
Doolgunna,7710,Valid,OC,Found,1967,-25.93333,119.3,0.02
Portales (a),18871,Valid,OC,Found,1967,34.06667,-103.5,3.24
Nazareth (b),16929,Valid,OC,Found,1967,34.5,-102.25,3.6
Little River (a),14665,Valid,OC,Found,1967,38.38333,-98.01667,4.4
Fluvanna (a),10116,Valid,OC,Found,1967,32.8,-101.11667,9.5
Credo,5468,Valid,OC,Found,1967,-30.36667,120.73333,10.82
Baandee,4914,Valid,OC,Found,1967,-31.61667,118.03333,0.25630000000000003
Markovka,15427,Valid,OC,Found,1967,52.4,79.8,54.2
Denver,6660,Valid,OC,Fell,1967,39.7825,-104.93056,0.23
Tugalin-Bulen,24062,Valid,OC,Fell,1967,45.46667,105.38333,10.0
Seminole (c),23490,Valid,OC,Found,1967,32.55,-102.39167,1.711
Nazareth (d),16931,Valid,OC,Found,1968,34.58333,-102.08333,1.5
Nallah,16900,Valid,OC,Found,1968,-31.96667,126.25,0.00462
Tsarev,24058,Valid,OC,Found,1968,48.7,45.7,1225.3
Idalia,11998,Valid,OC,Found,1968,39.695,-102.295,7.4
Piancaldoli,18813,Valid,OC,Fell,1968,44.24417,11.50222,0.013099999999999999
Nazareth (iron),16933,Valid,MIM,Found,1968,34.52667,-102.105,11.31
Mokrousovo,16714,Valid,OC,Found,1968,55.9,66.7,0.7892
Bethel (b),5031,Valid,OC,Found,1968,34.24667,-103.395,0.056799999999999996
Lucerne Valley 011,14735,Valid,OC,Found,1968,34.5,-116.95,0.0038
Delphos (a),6645,Valid,OC,Found,1968,34.08333,-103.525,1.2447000000000001
Delphos (b),6646,Valid,OC,Found,1968,34.09,-103.61167,0.548
Schenectady,23458,Valid,OC,Fell,1968,42.86083,-73.95028,0.2833
Roosevelt County 080,22735,Valid,OC,Found,1968,34.05,-103.5,0.7278
Webb,24228,Valid,OC,Found,1968,-31.69167,127.78333,0.4105
Fenbark,10085,Valid,OC,Found,1968,-30.44028,121.25694,1.861
Lucerne Valley 012,14736,Valid,OC,Found,1968,34.5,-116.95,0.0012
Akhricha,428,Valid,OC,Found,1968,28.4625,1.025,1.76
San Pedro Jacuaro,34063,Valid,OC,Fell,1968,19.76667,-100.65,0.46
Smyer,23655,Valid,OC,Found,1968,33.58333,-102.16667,3.273
Juromenha,12213,Valid,MIM,Fell,1968,38.74028,-7.27,25.25
Roosevelt County 037,22692,Valid,OC,Found,1968,34.08333,-103.51667,0.0943
Roosevelt County 036,22691,Valid,OC,Found,1968,34.08333,-103.61667,0.06520000000000001
Roosevelt County 035,22690,Valid,OC,Found,1968,34.08333,-103.61667,0.08159999999999999
Roosevelt County 034,22689,Valid,OC,Found,1968,34.08333,-103.61667,0.1185
Roosevelt County 033,22688,Valid,OC,Found,1968,34.08333,-103.5,0.0218
Roosevelt County 032,22687,Valid,OC,Found,1968,34.08333,-103.5,0.1411
Roosevelt County 038,22693,Valid,OC,Found,1968,34.3,-103.45,0.0494
Quinyambie,22365,Valid,OC,Found,1968,-30.15,140.98333,1.638
Roosevelt County 001,22656,Valid,OC,Found,1968,33.78333,-103.56667,0.462
Wildara,24265,Valid,OC,Found,1968,-28.23333,120.85,500.0
Dalhart,5508,Valid,OC,Found,1968,36.04333,-102.40833,4.4
Roosevelt County 061,22716,Valid,OC,Found,1968,34.08333,-103.51667,0.0495
Kalvesta,12237,Valid,OC,Found,1968,38.08333,-100.25,10.0
Loxton,14719,Valid,OC,Found,1968,-34.45,140.56667,0.022
Kivesvaara,12328,Valid,CC,Found,1968,64.45,27.56667,0.164
Leslie,12771,Valid,OC,Found,1968,34.61139,-100.855,0.895
Boolka,5108,Valid,OC,Found,1968,-30.06667,141.06667,12.0
Saint-Aubin,23096,Valid,MIM,Found,1968,48.48333,3.58333,472.0
Boaz (stone),5091,Valid,OC,Found,1968,33.65167,-103.70833,1.8
Elida (a),10014,Valid,OC,Found,1968,33.78333,-103.57667,0.9368
Elida (b),10015,Valid,OC,Found,1968,33.91667,-103.51833,0.5378
Roosevelt County 060,22715,Valid,OC,Found,1968,34.08333,-103.61667,0.0342
Roosevelt County 059,22714,Valid,OC,Found,1968,34.08333,-103.5,0.026199999999999998
Awere,4910,Valid,OC,Fell,1968,2.71667,32.83333,0.134
Gunnadorah,11454,Valid,OC,Found,1968,-31.0,125.93333,0.0197
Elida (c),10016,Valid,OC,Found,1968,33.79,-103.56333,0.3855
Motpena (a),16760,Valid,OC,Found,1968,-31.1,138.26667,8.81
Bethel (a),5030,Valid,OC,Found,1968,34.23333,-103.38333,0.0183
Roosevelt County 058,22713,Valid,OC,Found,1968,34.08333,-103.5,0.012
Oak,17971,Valid,OC,Found,1968,-31.58333,127.7,0.07529999999999999
Oasis State Park,17974,Valid,OC,Found,1968,34.22833,-103.35833,0.606
Wynyard,24344,Valid,OC,Found,1968,51.88333,-104.18333,3.479
Reid,22556,Valid,OC,Found,1969,-30.06667,128.98333,0.1441
Redfields,22551,Valid,UN,Found,1969,-30.71667,116.5,8.74
Park,18104,Valid,OC,Found,1969,39.11,-100.36167,13.0
Patora,18112,Valid,OC,Fell,1969,20.93694,82.05,4.375
Shibayama,23532,Valid,OC,Found,1969,35.765,140.41,0.235
Roosevelt County 063,22718,Valid,OC,Found,1969,34.08333,-103.5,0.0347
North East Reid,17002,Valid,OC,Found,1969,-30.03333,129.01667,0.0386
North Forrest,17003,Valid,OC,Found,1969,-30.5,128.1,0.6089
North Reid,17006,Valid,OC,Found,1969,-30.0,128.91667,0.3087
Gobabeb,10939,Valid,OC,Found,1969,-23.55,15.03333,27.0
North West Forrest (H),17008,Valid,OC,Found,1969,-30.76667,128.01667,0.2384
De Kalb,6623,Valid,OC,Found,1969,39.59167,-94.92194,0.566
Myersville,16886,Valid,OC,Found,1969,28.95,-97.40278,5.397
Delphos (d),6648,Valid,OC,Found,1969,34.05,-103.55,0.276
Ikhrarene,12005,Valid,OC,Found,1969,28.60417,1.04167,5.465
Oufrane,18051,Valid,OC,Found,1969,28.29583,0.025,0.54
Panhandle,18096,Valid,OC,Found,1969,35.33333,-101.38333,1.36
Murchison,16875,Valid,CC,Fell,1969,-36.61667,145.2,100.0
Edjudina,7766,Valid,OC,Found,1969,-29.58639,122.18167,4.48
Suchy Dul,23737,Valid,OC,Fell,1969,50.53806,16.26333,0.8152999999999999
Roosevelt County 062,22717,Valid,OC,Found,1969,34.21667,-103.5,0.0162
Glasston,10928,Valid,OC,Found,1969,48.71667,-97.3,1.99
Roosevelt County 039,22694,Valid,OC,Found,1969,34.08333,-103.5,0.038
Wooramel,24335,Valid,OC,Found,1969,-25.65,114.21667,71.0
Grier (a),11202,Valid,OC,Found,1969,34.38167,-103.39167,0.0124
Grier (b),11203,Valid,OC,Found,1969,34.26667,-103.38333,0.9294
Buenaventura,5162,Valid,MIM,Found,1969,29.8,-107.55,113.6
West Reid,24247,Valid,OC,Found,1969,-30.05,128.93333,0.6277
Roosevelt County 082,22737,Valid,OC,Found,1969,34.08333,-103.56667,0.137
Yilmia,30362,Valid,EC,Found,1969,-31.19167,121.53333,40.0
Leoville (b),12767,Valid,OC,Found,1969,39.60833,-100.475,2.5
Ashmore,2349,Valid,OC,Found,1969,32.9,-102.28333,55.4
Menindee Lakes 001,15479,Valid,OC,Found,1969,-33.16667,141.75,0.747
Allende,2278,Valid,CC,Fell,1969,26.96667,-105.31667,2000.0
Andreevka,2296,Valid,OC,Fell,1969,48.7,37.5,0.6
Roosevelt County 084,22739,Valid,OC,Found,1969,34.2,-103.23333,0.0696
Bou Hadid,5118,Valid,OC,Found,1969,28.3125,0.23333,0.374
Aprel'sky,2319,Valid,MIM,Found,1969,53.3,126.11667,54.6
Roosevelt County 085,22740,Valid,OC,Found,1969,34.31667,-103.38333,0.14
Roosevelt County 098,22753,Valid,OC,Found,1969,34.21667,-103.55,0.015
Roosevelt County 064,22719,Valid,OC,Found,1969,34.08333,-103.5,0.0248
Roosevelt County 099,22754,Valid,OC,Found,1969,33.6,-103.3,0.009800000000000001
